Dataset,Method,Protocol,Base Acc.,1,2,3,4,5,6,7,8,AHM,FA,FHM
mCURE,CDC-only,Defocus-Support,91.710,56.391,56.310,58.573,59.554,58.940,58.064,56.287,54.498,57.327,66.398,54.498
mCURE,DARC,Defocus-Support,91.710,61.431,60.162,61.898,62.527,62.342,61.431,59.757,57.832,60.922,67.204,57.832
mCURE,DARC-no-RCB,Defocus-Support,91.710,56.858,56.527,58.692,59.897,59.173,58.479,56.648,54.693,57.621,66.263,54.693
mCURE,RCB-only,Defocus-Support,91.710,55.410,50.934,53.772,54.951,53.396,51.567,49.162,47.047,52.030,63.280,47.047
mCURE,Raw-Degraded-CEC,Defocus-Support,91.710,53.408,49.330,52.378,53.791,51.494,49.524,47.116,45.135,50.272,62.876,45.135
mCURE,CDC-only,Motion-Support,91.710,63.283,62.355,61.788,61.899,61.578,60.259,59.410,57.113,60.961,67.742,57.113
mCURE,DARC,Motion-Support,91.710,66.969,65.384,64.853,65.035,65.158,63.548,62.362,60.354,64.208,68.387,60.354
mCURE,DARC-no-RCB,Motion-Support,91.710,62.824,62.088,62.622,63.064,62.694,61.455,60.454,58.299,61.687,67.930,58.299
mCURE,RCB-only,Motion-Support,91.710,63.670,59.839,60.013,61.086,61.167,59.710,58.724,55.573,59.973,66.720,55.573
mCURE,Raw-Degraded-CEC,Motion-Support,91.710,59.257,56.328,57.294,58.544,58.364,57.064,55.995,53.079,56.990,66.048,53.079
Flowers102,CDC-only,Defocus-Support,97.722,83.779,73.379,64.953,66.365,60.021,57.799,56.017,55.850,64.771,69.565,55.850
Flowers102,DARC,Defocus-Support,97.722,86.484,78.632,72.160,72.955,67.256,64.971,63.225,63.300,71.123,72.897,63.300
Flowers102,DARC-no-RCB,Defocus-Support,97.722,85.148,75.318,67.072,68.845,63.583,61.308,60.031,60.159,67.683,71.759,60.159
Flowers102,RCB-only,Defocus-Support,97.722,81.661,71.355,67.054,67.166,62.597,59.853,59.122,59.916,66.091,71.841,59.916
Flowers102,Raw-Degraded-CEC,Defocus-Support,97.722,77.197,64.073,61.968,62.637,58.050,55.150,54.758,55.612,61.181,70.012,55.612
Flowers102,CDC-only,Motion-Support,97.722,88.458,82.520,78.719,77.730,74.306,71.479,68.611,69.392,76.402,76.798,69.392
Flowers102,DARC,Motion-Support,97.722,90.335,84.804,82.477,80.687,77.478,75.773,73.338,74.115,79.876,79.236,74.115
Flowers102,DARC-no-RCB,Motion-Support,97.722,88.458,82.181,79.657,78.654,75.247,73.228,70.321,71.088,77.355,77.773,71.088
Flowers102,RCB-only,Motion-Support,97.722,91.517,81.101,78.694,77.705,73.961,72.950,70.454,71.346,77.216,77.895,71.346
Flowers102,Raw-Degraded-CEC,Motion-Support,97.722,85.879,76.896,76.067,75.709,71.435,70.130,67.061,68.074,73.906,76.270,68.074
